Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
SP-3041,Quincy Jones,You've Got It Bad Girl,A&M Records,"LP, Album, San",,1973,2830938,Jazz,2018-08-08 03:41:55,Very Good (VG),Very Good (VG),
SP-3721,Quincy Jones,The Dude,A&M Records,"LP, Album, B",,1981,5346278,Jazz,2021-09-23 16:37:12,Very Good Plus (VG+),Near Mint (NM or M-),
SP-4644 ,Brothers Johnson,Right On Time,A&M Records,"LP, Album, Ter",,1977,245644,Funk/Soul,2018-08-08 23:38:00,Very Good Plus (VG+),Very Good Plus (VG+),
SP-4753,The Police,Outlandos D'Amour,A&M Records,"LP, Album, Par",,1978,10306315,70's Rock,2018-08-13 22:03:05,Very Good (VG),Very Good (VG),
"SP-3905, SP 3905",Janet Jackson,Control,"A&M Records, A&M Records","LP, Album, Ind",,1986,1058518,80's R&B,2018-08-08 23:10:44,Very Good Plus (VG+),Very Good (VG),
SP-3014,George Benson,Shape Of Things To Come,"A&M Records, CTI Records","LP, Album, Gat",,1968,1549762,Jazz,2018-08-08 02:54:39,Very Good (VG),Good Plus (G+),
SP-3028,George Benson,The Other Side Of Abbey Road,"A&M Records, CTI Records","LP, Album, Gat",,1970,658912,Jazz,2018-08-08 02:58:47,Very Good (VG),Good Plus (G+),
KALA0001,Kalapana,Kalapana,Abattoir Records,"LP, Album",,1975,2204962,Funk/Soul,2020-01-06 04:11:16,Good Plus (G+),Good Plus (G+),
ABB 1029-PRO,Dilated Peoples,Worst Comes To Worst / Target Practice,"ABB Records, Capitol Records","12"", Promo",,2001,825449,"12"" Hip-Hop",2019-01-02 23:45:44,Near Mint (NM or M-),Generic,
ABC-11376,Rufus,Whoever's Thrilling You (Is Killing Me),ABC Records,"7"", Single",,1973,9602265,45 Funk/Soul,2023-07-08 19:01:24,Very Good Plus (VG+),Generic,
ABC-12010,Rufus,Tell Me Something Good,ABC Records,"7"", Single, RP, Styrene, Pit",,1974,1540247,45 Funk/Soul,2023-02-22 19:25:43,Good Plus (G+),Generic,
"BT-6028, B0011382-01",Ramp (3),Come Into Knowledge,"ABC Records, Universal Music Special Markets","LP, Album, Ltd, RE, 180",,2008,11614712,Funk/Soul,2019-05-18 23:49:27,,,
D-4279,The Grass Roots,Sooner Or Later,ABC/Dunhill Records,"7"", Single, Styrene, Ter",,1971,2565376,45 70's/80's Rock,2023-06-11 01:03:16,Good Plus (G+),Generic,
Abet 9459,Dynamic Corvettes,Funky Music Is The Thing,Abet,"7"", Single",,1975,1225912,45 Funk/Soul,2023-06-05 17:29:33,Near Mint (NM or M-),Generic,
Abet 9459,Dynamic Corvettes,Funky Music Is The Thing,Abet,"7"", Single",,1975,1225912,45 Funk/Soul,2023-06-05 17:29:33,Near Mint (NM or M-),Very Good (VG),
0018771862710,Sam Cooke,Keep Movin' On,ABKCO,"2xLP, Comp",,2020,16195397,Funk/Soul,2021-03-02 14:26:09,Mint (M),Mint (M),
ASVN022,Various,Mothers' Garden The Funky Sounds Of Female Africa 1975-1984,Africa Seven,"LP, Comp",,2018,12070057,African,2023-05-07 23:15:00,Mint (M),Mint (M),
B0030217-01,Dr. Dre,2001,"Aftermath Entertainment, Interscope Records","2xLP, Album, RE, Unc",,2019,14404674,Hip-Hop,2019-12-30 20:26:52,Mint (M),Mint (M),
"LPS-334, AJP-LPS-334",Carlos Malcolm,Bustin' Outta The Ghetto,"AJP (2), AJP (2)","LP, Album, RE",,0,2639087,Funk/Soul,2023-05-21 22:43:44,Near Mint (NM or M-),Near Mint (NM or M-),
AKR 015,Lynda Dawn,At First Light,Akashik Records (4),"LP, EP",,2019,14160652,Funk/Soul,2022-05-26 20:53:58,Mint (M),Mint (M),
AKR-003,Joyce Wrice & Kay Franklin,Rocket Science,Akashik Records (4),"7"", Single, Ltd",,2016,9418096,45 R&B,2018-12-21 20:20:47,Near Mint (NM or M-),Near Mint (NM or M-),
AMT-001,The Gangsters (6),The Gangsters,Albina Music Trust,"LP, Album",,2018,12774878,Funk/Soul,2021-06-05 21:29:20,Mint (M),Mint (M),
AMT-002,The Legendary Beyons,The Legendary Beyons,Albina Music Trust,"LP, Album",,2020,16119731,Funk/Soul,2021-01-16 19:08:10,Near Mint (NM or M-),Near Mint (NM or M-),
AMT-003,Slickaphonic,Slickaphonic ,Albina Music Trust,"LP, Album",,2021,17089833,Funk/Soul,2021-01-27 17:35:17,Mint (M),Mint (M),
AMT-004,Transport,Disco Fantasy Land,Albina Music Trust,"LP, Album",,2021,18922879,Funk/Soul,2021-05-28 22:09:19,Mint (M),Mint (M),
AMT-005,Lights Out (19),Lights Out,Albina Music Trust,"12"", Ltd",,2022,23937674,Funk/Soul,2022-07-19 14:50:15,Mint (M),Mint (M),
AMT-006,Transport,Transport ,Albina Music Trust,"LP, Album",,2022,23915762,Funk/Soul,2022-07-17 21:47:24,Mint (M),Mint (M),
AMT-007,Milton Davis,Let Me In,Albina Music Trust,"LP, Album",,2023,27685686,Funk/Soul,2023-07-19 00:38:52,Near Mint (NM or M-),Near Mint (NM or M-),
ASLP 6002,Tito Allen,Maldades,Alegre Records,"LP, Album",,1975,5544609,Latin Funk,2023-07-13 18:44:41,Very Good Plus (VG+),Very Good Plus (VG+),
MHJL 106,Hiroshi Sato Featuring Wendy Matthews,Awakening,"Alfa, Great Tracks (2)","LP, Album, Ltd, RE, RM, Cle",,2019,14350129,Japanese,2020-02-18 01:45:20,Mint (M),Mint (M),
AGS-7010,Nova (81),Can We Do It Good,Aloha Got Soul,"7"", Pur",,2018,12764803,45 Funk/Soul,2020-11-17 06:59:44,Mint (M),Mint (M),
AGS-LP001-R,Mike Lundy,The Rhythm Of Life,Aloha Got Soul,"LP, Album, RE, RP",,2020,16240400,Funk/Soul,2022-02-10 15:26:12,Mint (M),Mint (M),
AO-9514,Esther Williams / The Soul Searchers,Last Night Changed It All / Ashley's Roach Clip,Alpha Omega Recordings,"12"", Unofficial",,2000,125920,"12"" Funk/Soul",2020-11-22 05:15:00,Near Mint (NM or M-),Very Good Plus (VG+),
45-4574,Clarence Reid,Nobody But You Babe,Alston Records,"7"", Single, PL ",,1969,1416433,45 Funk/Soul,2023-02-23 15:35:35,Very Good (VG),Generic,
45-4595,The Beginning Of The End,Funky Nassau,Alston Records,"7"", Single, Pla",,1971,3374089,45 Funk/Soul,2023-06-23 21:47:45,Very Good (VG),Generic,
45-4595,The Beginning Of The End,Funky Nassau,Alston Records,"7"", Single, Pla",,1971,3374089,45 Funk/Soul,2023-06-30 23:28:51,Very Good Plus (VG+),Generic,
45-4601,Betty Wright,Clean Up Woman / I'll Love You Forever,Alston Records,"7"", Single, Pla",,1971,1897132,45 Funk/Soul,2023-02-20 23:47:39,Poor (P),Generic,
4601,Betty Wright,Clean Up Woman,Alston Records,"7"", Single, Mid",,1971,5024821,45 Funk/Soul,2023-04-09 23:47:45,Very Good Plus (VG+),Generic,
A-4601,Betty Wright,Clean Up Woman,Alston Records,"7"", Single, SP ",,1971,4593032,45 Funk/Soul,2023-03-01 22:52:13,Near Mint (NM or M-),Very Good (VG),
FOX011,Joyce,Joyce,Alternative Fox,"LP, Album, Unofficial",,2019,13941349,Brazilian,2020-01-06 04:07:46,Mint (M),Mint (M),
"0-43764, 9 43764-0",DJ Kool,Let Me Clear My Throat,"American Recordings, Clr Records","12""",,1996,1177823,Hip-Hop,2020-11-02 06:34:31,Good Plus (G+),Very Good (VG),
AALP 065,Various,Legends Of Benin,Analog Africa,"2xLP, Comp",,2009,1901494,African,2018-08-08 02:22:22,Near Mint (NM or M-),Near Mint (NM or M-),
AALP 083,Various,Pop Makossa - The Invasive Dance Beat Of Cameroon 1976​-​1984,Analog Africa,"2xLP, Comp",,2017,10437563,African,2023-05-07 23:22:01,Mint (M),Mint (M),
AALP082,Shadow (11),Sweet Sweet Dreams,Analog Africa,"LP, Album, RE",,2016,9477500,African,2019-04-14 22:56:17,,,
SALP 1486,Gilberto Sextet,Ponganse Duros,"Ansonia Records, Inc.","LP, Album, Ltd, RE, 500",,2022,27221682,Latin Jazz,2023-06-15 22:53:28,Mint (M),Mint (M),
ASH706,The Uniques,Absolutely The...Uniques,Antarctica Starts Here,"LP, Album, RE",,2020,15105052,Reggae,2022-07-28 22:23:03,Mint (M),Mint (M),
87383-1,Title Fight,Hyperview,Anti-,"LP, Album",,2015,6603837,Indie/Alternative,2018-08-15 01:24:28,Near Mint (NM or M-),Near Mint (NM or M-),
AMBLP3922,Aphex Twin,Selected Ambient Works 85-92,Apollo,"2xLP, Album, RE, RM",,2021,17164261,Electronic,2021-10-14 17:56:18,Mint (M),Mint (M),
IEP-1002,Tony Ronald,Ayúdame (Help),Apolo (2),"7"", EP",,1972,14690643,45 70's/80's Rock,2022-11-08 21:46:07,Very Good Plus (VG+),Near Mint (NM or M-),
IEP-1006,Tony Ronald,Te Quiero Nena = I Love You Baby,Apolo (2),"7"", EP",,1971,14264468,45 70's/80's Rock,2022-11-08 21:47:01,Near Mint (NM or M-),Near Mint (NM or M-),
2276,The Beatles,Hey Jude,Apple Records,"7"", Single, RE",,1975,3176049,45 60's Rock,2023-05-24 23:48:35,Very Good (VG),Generic,
2654,The Beatles,Something / Come Together,Apple Records,"7"", Single",,1969,7502247,45 60's/70's R&B,2018-12-21 20:31:17,Near Mint (NM or M-),Very Good (VG),
ABT011,Blue Hawaii (2),Blooming Summer,ARBUTUS RECORDS,"LP, Album, Ltd, Bis",,2018,12057911,Indie/Alternative,2018-08-13 22:09:17,Mint (M),Near Mint (NM or M-),
3-10956,"Earth, Wind & Fire With The Emotions",Boogie Wonderland,"ARC (3), Columbia","7"", Single, Styrene, Pit",,1979,592958,45 Funk/Soul,2020-11-17 07:29:34,Good (G),Generic,
105,Barbara Mason,"Yes, I'm Ready / Keep Him",Arctic,"7"", Single",,1965,9239194,45 60's/70's R&B,2023-02-21 22:51:20,Good Plus (G+),Generic,
108,Barbara Mason,"Sad, Sad Girl",ARCTIC,"7"", Single",,1965,11935189,45 60's/70's R&B,2023-02-23 15:40:27,Good Plus (G+),Generic,
CR00211,Big Star,#1 Record,"Ardent Records (2), Craft Recordings","LP, Album, RE, RM, 180",,2020,14696642,70's Rock,2021-10-22 17:10:09,Mint (M),Mint (M),
7770,Street Players (2),Boogie Down,Ariola Records America,"7"", Promo",,1979,7570606,45 Funk/Soul,2023-07-25 23:12:42,Very Good (VG),Generic,
AL 4066,Patti Smith,Horses,Arista,"LP, Album, Pet",,1975,3624373,70's Rock,2018-08-13 21:28:08,Very Good Plus (VG+),Very Good Plus (VG+),
AL 9570,Osamu Kitajima,Dragon King,Arista,"LP, Album",,1981,3648092,Japanese,2020-11-17 06:20:35,Very Good (VG),Good Plus (G+),promo only
AS 0518,Breakwater,Splashdown Time,Arista,"7"", Styrene",,1980,1588530,45 Funk/Soul,2023-06-23 21:48:20,Very Good Plus (VG+),Generic,
AS1-9598,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),Arista,"7"", Single",,1987,6039516,45 80's R&B,2023-02-21 22:23:19,Good Plus (G+),Good Plus (G+),
"07822-13924-1, 07822-13924",Koffee Brown,After Party,"Arista, Arista","12""",,2000,2386605,"12"" 00's R&B",2019-01-02 23:59:01,Very Good Plus (VG+),Generic,
"88985409601, TWM11",Bernie Worrell,All The Woo In The World,"Arista, Tidal Waves Music","LP, Album, RSD, Ltd, RE, Ora",,2017,11001228,Funk/Soul,2018-08-08 23:53:50,Near Mint (NM or M-),Near Mint (NM or M-),
none,Snoh Aalegra,"- Ugh, Those Feels Again",ARTium Recordings,"2xLP, Album",,2020,14858313,Modern R&B,2021-09-02 11:53:58,Mint (M),Mint (M),
"810045118550, ROC00521-01",Snoh Aalegra,Dying 4 Your Love,"ARTium Recordings, Roc Nation Records","7"", Ltd, Ora",,2020,16499601,45 R&B,2021-09-07 16:33:24,Mint (M),Mint (M),
A&C001,Broken Social Scene,You Forgot It In People,Arts & Crafts,"2xLP, Album, RE, GZ ",,2017,10326031,Indie/Alternative,2018-10-08 18:36:43,Mint (M),Near Mint (NM or M-),
AM-353,Dogbreth,Ever Loving,Asian Man Records,"LP, Album, Ran",,2019,14099059,Contemporary Emo,2020-01-06 04:13:54,Mint (M),Mint (M),
AM268,Joyce Manor,Joyce Manor,Asian Man Records,"12"", Album, RP, Red",,2015,7026997,Contemporary Emo,2018-08-13 23:36:24,Near Mint (NM or M-),Near Mint (NM or M-),
AMR236,Joyce Manor,Of All Things I Will Soon Grow Tired,Asian Man Records,"LP, Album, RP, Blu",,2014,7899609,Contemporary Emo,2018-08-15 01:38:18,Near Mint (NM or M-),Near Mint (NM or M-),
"AMR 343, LR76",Algernon Cadwallader,Algernon Cadwallader,"Asian Man Records, Lauren Records (2)","LP, Comp, RP, Sea",,2021,17159251,Contemporary Emo,2021-02-11 17:29:36,Mint (M),Mint (M),
"AMR341, LR74",Algernon Cadwallader,Some Kind Of Cadwallader,"Asian Man Records, Lauren Records (2)","LP, Bla",,2018,15929939,Contemporary Emo,2021-02-16 23:12:09,Mint (M),Mint (M),
AKR374,Angelo De Augustine,Carcassonne / Effervescent Islands,Asthmatic Kitty Records,"7"", Single, Ltd, Blu",,2018,12195882,45 Folk,2018-12-21 20:11:19,Mint (M),Mint (M),
7243 8 12622 1 4,N*E*R*D,In Search Of...,"Astralwerks, Virgin","2xLP, Album",,2002,1359671,2000s R&B,2018-08-08 03:52:25,Near Mint (NM or M-),Very Good Plus (VG+),
45-6392,Mary Wells,Dear Lover / Can't You See (You're Losing Me),ATCO Records,"7"", Single, Mono",,1965,2463175,45 Funk/Soul,2023-02-02 22:10:23,Very Good Plus (VG+),Generic,
45-6700,Otis Redding,(Your Love Has Lifted Me) Higher & Higher,ATCO Records,"7""",,1969,2181076,45 Funk/Soul,2023-07-08 19:01:24,Mint (M),Generic,
45-6799,Donny Hathaway,This Christmas / Be There,ATCO Records,"7"", SP ",,1970,9123241,45 60's/70's R&B,2023-02-20 23:54:25,Very Good (VG),Generic,
AOTNLP 031,Various,For The Love Of You ,Athens Of The North,"2xLP, Comp",,2020,15029555,Reggae,2023-01-22 23:31:09,Mint (M),Mint (M),
AOTNLP023,People's Pleasure With Alive And Well (3),Do You Hear Me Talking To You?,Athens Of The North,"LP, Album, RE",,2019,13109354,Funk/Soul,2019-07-13 18:11:19,Mint (M),Mint (M),
AOTNLP064,Various,For The Love Of You (Volume 2.1),Athens Of The North,"2xLP, Comp, RE",,2022,25496851,Reggae,2023-01-27 22:09:48,Mint (M),Mint (M),
ATH088,Akira Freeze,Tell Me Baby / I Remember,Athens Of The North,"7"", RE",,2020,16021155,45 Funk/Soul,2021-01-29 17:16:02,Mint (M),Mint (M),
3519,Chic,Le Freak / Savoir Faire,Atlantic,"7"", Single, Styrene, RI ",,1978,14377719,45 Funk/Soul,2020-11-17 07:26:44,Very Good Plus (VG+),Good (G),
3519,Chic,Le Freak / Savoir Faire,Atlantic,"7"", Single, Spe",,1978,6046098,45 Funk/Soul,2023-02-21 21:53:10,Near Mint (NM or M-),Good Plus (G+),
45-2464,Aretha Franklin,Chain Of Fools,Atlantic,"7"", Single, PL ",,1967,788515,45 60's/70's R&B,2023-07-08 19:01:24,Very Good Plus (VG+),Generic,
45-2940,Roberta Flack,Killing Me Softly With His Song,Atlantic,"7"", Single, MO ",,1973,2472455,45 Funk/Soul,2020-11-17 07:16:05,Very Good Plus (VG+),Generic,
45-2971,Manu Dibango,Soul Makossa,Atlantic,"7"", Single, Spe",,1973,8115139,45 Funk/Soul,2023-06-11 00:56:57,Very Good Plus (VG+),Generic,
AT 0047 T,Aaliyah,Are You That Somebody?,Atlantic,"12"", Single",,1998,589615,"12"" 90's R&B",2019-01-02 23:54:11,Near Mint (NM or M-),Very Good Plus (VG+),
EP-A-1011,Eddie Harris,Plug Me In ,Atlantic,"7"", EP, Promo",,1969,3486927,45 Funk/Soul,2020-11-22 06:18:43,Near Mint (NM or M-),Generic,
OS 13217,Sister Sledge,He's The Greatest Dancer / We Are Family,Atlantic,"7"", RE",,0,2926945,45 Funk/Soul,2019-10-14 03:04:22,Mint (M),Mint (M),
OS 13217,Sister Sledge,He's The Greatest Dancer / We Are Family,Atlantic,"7"", RE",,0,2926945,45 Funk/Soul,2020-11-22 05:18:44,Mint (M),Generic,
QD 7271,Roberta Flack,Killing Me Softly,Atlantic,"LP, Album, Quad, SP ",,1973,2837254,Funk/Soul,2018-08-11 01:40:57,Very Good Plus (VG+),Very Good Plus (VG+),
R182610,Brandy (2),Brandy,Atlantic,"2xLP, Album, RE",,2017,10448778,90s R&B,2019-10-28 22:52:56,Mint (M),Mint (M),
SD 1602,Yusef Lateef,The Gentle Giant,Atlantic,"LP, Album, Pre",,1972,774431,Jazz,2018-08-11 01:05:38,Near Mint (NM or M-),Very Good Plus (VG+),
SD 7269,Daryl Hall & John Oates,Abandoned Luncheonette,Atlantic,"LP, Album, PR ",,1973,5231927,70's Rock,2018-08-13 21:15:46,Very Good (VG),Good (G),
SD 8176,Aretha Franklin,Lady Soul,Atlantic,"LP, Album",,1968,3974319,60's R&B,2018-08-11 01:32:16,Good Plus (G+),Good Plus (G+),
"SD 8186, ATL-SD 8186",Aretha Franklin,Aretha Now,"Atlantic, Atlantic, Stern Musik","LP, Album",,1968,1323551,60's R&B,2018-08-09 00:11:13,Very Good (VG),Very Good (VG),
RGM-1200,Eugene McDaniels,Headless Heroes Of The Apocalypse,"Atlantic, Real Gone Music","LP, Album, Dlx, Ltd, RE, Pur",,2021,19312222,Jazz,2021-08-02 14:21:01,Mint (M),Mint (M),
 ATLP375,Pachyman,The Return Of... ,ATO Records,"LP, Ltd, Pin",,2021,19799518,Reggae,2021-09-16 15:41:56,Mint (M),Mint (M),
ATO0384LP,Nick Hakim,Green Twins,ATO Records,"LP, Album, Ltd",,2017,10381192,Indie/Alternative,2018-08-13 22:45:14,Near Mint (NM or M-),Near Mint (NM or M-),
ATFA012,Hailu Mergia And Wallias Band,Tche Belew,Awesome Tapes From Africa,"LP, Album, RE",,2014,6173828,African,2021-02-06 11:02:23,Mint (M),Mint (M),
ATFA021,Hailu Mergia & Dahlak Band,Wede Harer Guzo,Awesome Tapes From Africa,"2xLP, Album, RE",,2016,8662288,African,2021-04-06 13:50:24,Mint (M),Mint (M),
BK 030 ,Kevin McCord,Never Say / When The Night Comes,Backatcha Records,"7""",,2020,16102715,45 Funk/Soul,2020-11-22 05:52:45,Mint (M),Generic,
BBDP-9299,Notorious B.I.G.,Juicy / Niggas Bleed,Bad Boy Entertainment,"12"", Promo",,1999,1207608,"12"" Hip-Hop",2019-01-03 00:37:21,Near Mint (NM or M-),Very Good Plus (VG+),
BBDP-9305,Carl Thomas,I Wish / Woke Up In The Morning,Bad Boy Entertainment,"12"", Promo",,1999,1801889,"12"" 00's R&B",2019-01-02 23:47:53,Near Mint (NM or M-),Very Good Plus (VG+),
78612-73005-1,Notorious B.I.G.,Ready To Die,Bad Boy Entertainment (2),"2xLP, Album, RE, Unofficial",,0,2731064,Hip-Hop,2019-01-04 21:50:48,Near Mint (NM or M-),Near Mint (NM or M-),
bark11lp,Death Cab For Cutie,We Have The Facts And We're Voting Yes,Barsuk Records,"LP, Album, RE, 180",,2014,6408947,Indie/Alternative,2020-02-03 23:28:19,Mint (M),Mint (M),
BARK21LP,Death Cab For Cutie,The Photo Album,Barsuk Records,"LP, Album, RE, 180",,2014,6409168,Indie/Alternative,2019-09-22 01:23:11,Mint (M),Mint (M),
bark32lp,Death Cab For Cutie,Transatlanticism,Barsuk Records,"2xLP, Album, RE, 180",,2013,5047126,2000s Emo,2018-08-15 02:15:01,Near Mint (NM or M-),Near Mint (NM or M-),
bark47,Death Cab For Cutie,Plans,Barsuk Records,"2xLP, Album, RP",,2008,3112846,Indie/Alternative,2021-02-24 20:00:10,Mint (M),Mint (M),
BJ723,Potatohead People,Do My Thing / Returning The Flavour,Bastard Jazz Recordings,"7""",,2018,12069083,45 Electronic,2018-12-21 19:46:13,Mint (M),Mint (M),
BR-014,Beach Fossils,Somersault,Bayonet Records,"LP, Album, Ltd, Red",,2017,10376979,Indie/Alternative,2018-10-11 01:46:27,Near Mint (NM or M-),Near Mint (NM or M-),
BR017LPC1,Kevin Krauter,Toss Up,Bayonet Records,"LP, Album, Ltd, Gre",,2018,12130365,Indie/Alternative,2018-08-24 01:06:34,Mint (M),Mint (M),
BBE LP 076,J Dilla,The Shining,BBE,"2xLP, Album, Gat",,2006,758436,Hip-Hop,2019-01-04 20:52:18,Near Mint (NM or M-),Very Good Plus (VG+),
BBE12022,The Foreign Exchange,Connected EP,BBE,"12"", EP",,2004,354927,Hip-Hop,2019-01-03 01:04:06,Very Good Plus (VG+),Very Good Plus (VG+),
BBE135CLP,Mr. Thing,"Strange Breaks & Mr Thing II (More Rock, Funk, Soul, Jazz & Soundtrack Breaks For Modern Living)",BBE,"2xLP, Comp, RE",,2016,9375065,Funk/Soul,2018-08-08 22:56:07,Near Mint (NM or M-),Near Mint (NM or M-),
BBE470CLP,Various,J Jazz: Deep Modern Jazz From Japan 1969-1983 (Volume 2),BBE,"3xLP, Comp",,2019,14110299,Japanese,2019-10-14 03:52:02,Mint (M),Mint (M),
BBE586ALP,Carl Smith And The Natural Gas Company,Burnin',BBE,"2xLP, Album, RE",,2021,16881180,Funk/Soul,2021-05-29 22:45:55,Mint (M),Mint (M),
BBE670CLP,Various,We Are The Children Of The Sun,BBE,"3xLP, Comp",,2022,22892711,70's Rock,2022-07-28 21:18:59,Mint (M),Mint (M),
BBE708CLP,Various,Once Again We Are The Children Of The Sun,BBE,"3xLP, Comp",,2023,26197484,Funk/Soul,2023-05-02 22:58:01,Mint (M),Mint (M),
BBEBGLP001,Jay Dee Aka J Dilla,Welcome 2 Detroit,BBE,"2xLP, Album",,2001,37009,Hip-Hop,2019-01-04 21:24:34,Near Mint (NM or M-),Near Mint (NM or M-),
BEWITH003SEVEN,Breakwater,Release The Beast,Be With Records,"7""",,2019,14060172,45 Funk/Soul,2019-10-04 03:34:12,Mint (M),Mint (M),
BEWITH012TWELVE,52nd Street,Look Into My Eyes,Be With Records,"12"", Single, RE",,2020,15158917,"12"" Funk/Soul",2023-05-03 23:59:33,Mint (M),Mint (M),
BEWITH018LP,Willie Hutch,Soul Portrait,Be With Records,"LP, Album, Ltd, RE, RM, 180",,2016,9223402,Funk/Soul,2018-08-08 22:40:16,Near Mint (NM or M-),Near Mint (NM or M-),
BEWITH081LP,J.R. Bailey,Just Me ’N You,Be With Records,"LP, Album, RE, 140",,2020,15930928,Funk/Soul,2023-07-22 19:49:46,Near Mint (NM or M-),Near Mint (NM or M-),
BEWITH099LP,Lewis Taylor,Lewis Taylor,Be With Records,"2xLP, Album, RE",,2021,19746805,90s R&B,2022-07-20 16:49:29,Mint (M),Mint (M),
"BEWITH093LP, KPM 1188",Keith Mansfield,Contempo,"Be With Records, KPM Music","LP, RE, RM",,2021,17702311,Funk/Soul,2021-09-07 16:40:15,Mint (M),Mint (M),
"BEWITH056LP, XYZ 003, XYZ003, XYZ-003",Marcia Griffiths,Sweet & Nice,"Be With Records, Wild Flower, Wild Flower, Wild Flower","2xLP, Album, RE, RM, 140",,2019,13962019,Reggae,2022-03-14 20:00:25,Mint (M),Mint (M),
BEC5543356,Various,Shaolin Soul (Episode 1),Because Music,"2xLP, Comp + CD, Comp, Pla + RE",,2018,11617533,Funk/Soul,2021-09-07 13:22:58,Mint (M),Mint (M),
BEC5543358,Various,Shaolin Soul (Episode 3),Because Music,"2xLP, Comp, RE + CD, Comp",,2018,11742069,Funk/Soul,2020-10-10 01:00:09,Mint (M),Mint (M),
"45,172",Lunar Funk (2),Mr. Penguin,Bell Records,"7"", Styrene, PRC",,1972,2351893,45 Funk/Soul,2023-06-14 22:13:21,Very Good Plus (VG+),Very Good Plus (VG+),
BTG003VL,Tom Misch,Beat Tape 1,Beyond The Groove,"2xLP, Album, RE, RM",,2020,14992399,Instrumental/Beats,2021-12-18 22:04:52,Mint (M),Mint (M),
BTG004VL,Tom Misch,Beat Tape 2,Beyond The Groove,"2xLP, Album",,2016,8348582,Instrumental/Beats,2020-07-11 03:45:19,Mint (M),Mint (M),
BTG020LPX,Tom Misch,Geography,Beyond The Groove,"2xLP, Album, Ltd, Yel",,2018,11754293,New Jazz,2018-08-08 00:28:17,Mint (M),Mint (M),
BGPD 1087,S.O.U.L.,What Is It,BGP Records,"LP, Album, RE",,1994,619209,Funk/Soul,2022-05-05 15:54:28,Near Mint (NM or M-),Near Mint (NM or M-),
